ID,CASENO,OFFENSE,CVLEGEND,CVDOW,Block_Location,BLKADDR,City,State,Day,Lat,Lon,timestamp
1884,17029184,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2,"2100 ROOSEVELT AVE
Berkeley, CA
(37.870145, -122.276287)",2100 ROOSEVELT AVE,Berkeley,CA,Tuesday,37.870145,-122.276287,23/05/2017 12:20
1885,17043353,DISTURBANCE,DISORDERLY CONDUCT,2,"2100 SHATTUCK AVE
Berkeley, CA
(37.871167, -122.268285)",2100 SHATTUCK AVE,Berkeley,CA,Tuesday,37.871167,-122.268285,25/07/2017 21:15
1886,17049889,FRAUD/FORGERY,FRAUD,3,"SHATTUCK AVENUE &amp; WALNUT ST
Berkeley, CA
(37.887961, -122.269822)",SHATTUCK AVENUE & WALNUT ST,Berkeley,CA,Wednesday,37.887961,-122.269822,23/08/2017 8:00
1887,17036344,DISTURBANCE,DISORDERLY CONDUCT,5,"2400 PIEDMONT AVE
Berkeley, CA
(37.867546, -122.251967)",2400 PIEDMONT AVE,Berkeley,CA,Friday,37.867546,-122.251967,23/06/2017 23:20
1888,17041869,ARSON,ARSON,3,"2000 CARLETON ST
Berkeley, CA
(37.860926, -122.269532)",2000 CARLETON ST,Berkeley,CA,Wednesday,37.860926,-122.269532,19/07/2017 0:11
1889,17012193,MISSING JUVENILE,MISSING PERSON,5,"1200 FRANCISCO ST
Berkeley, CA
(37.87304, -122.289659)",1200 FRANCISCO ST,Berkeley,CA,Friday,37.87304,-122.289659,3/3/2017 16:00
1890,17015335,NARCOTICS,DRUG VIOLATION,0,"M L KING JR WAY &amp; HEARST AVE
Berkeley, CA
",M L KING JR WAY & HEARST AVE,Berkeley,CA,Sunday,,,19/03/2017 13:49
1891,17091463,VANDALISM,VANDALISM,4,"2300 DURANT AVE
Berkeley, CA
(37.867259, -122.26324)",2300 DURANT AVE,Berkeley,CA,Thursday,37.867259,-122.26324,29/06/2017 0:00
1892,17090560,VANDALISM,VANDALISM,4,"800 POTTER ST
Berkeley, CA
(37.851255, -122.292509)",800 POTTER ST,Berkeley,CA,Thursday,37.851255,-122.292509,16/03/2017 18:30
1893,17022887,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1,"DELAWARE STREET &amp; SACRAMENTO ST
Berkeley, CA
(37.873055, -122.282337)",DELAWARE STREET & SACRAMENTO ST,Berkeley,CA,Monday,37.873055,-122.282337,24/04/2017 15:30
1894,17048589,FRAUD/FORGERY,FRAUD,5,"2100 SHATTUCK AVE
Berkeley, CA
(37.871167, -122.268285)",2100 SHATTUCK AVE,Berkeley,CA,Friday,37.871167,-122.268285,18/08/2017 12:30
1895,17090541,THEFT FELONY (OVER $950),LARCENY,0,"2500 HILGARD AVE
Berkeley, CA
(37.878629, -122.260883)",2500 HILGARD AVE,Berkeley,CA,Sunday,37.878629,-122.260883,5/3/2017 19:50
